2020-07-24 21:32:02: M016_T1: Openface could not extract the details for T1
2020-07-24 21:32:22: M015_T7: Could not copy the file T7 to docker
2020-07-24 21:32:22: M015_T1: Could not copy the file T1 to docker
2020-07-24 21:32:23: M015_T6: Could not copy the file T6 to docker
2020-07-24 21:32:23: M015_T3: Could not copy the file T3 to docker
2020-07-24 21:32:23: F021_T4: Could not copy the file T4 to docker
2020-07-24 21:32:23: F021_T5: Could not copy the file T5 to docker
2020-07-24 21:32:24: F021_T8: Could not copy the file T8 to docker
2020-07-24 21:32:24: F021_T2: Could not copy the file T2 to docker
2020-07-24 21:32:24: F021_T7: Could not copy the file T7 to docker
2020-07-24 21:32:24: F021_T1: Could not copy the file T1 to docker
2020-07-24 21:32:24: F021_T6: Could not copy the file T6 to docker
2020-07-24 21:32:24: F021_T3: Could not copy the file T3 to docker
2020-07-24 21:32:25: F001_T4: Could not copy the file T4 to docker
2020-07-24 21:32:26: F001_T5: Could not copy the file T5 to docker
2020-07-24 21:32:26: F001_T8: Could not copy the file T8 to docker
2020-07-24 21:32:27: F001_T2: Could not copy the file T2 to docker
2020-07-24 21:32:27: F001_T7: Could not copy the file T7 to docker
2020-07-24 21:32:27: F001_test: Could not copy the file test to docker
2020-07-24 21:32:28: F001_T1: Could not copy the file T1 to docker
2020-07-24 21:32:28: F001_T6: Could not copy the file T6 to docker
2020-07-24 21:32:28: F001_T3: Could not copy the file T3 to docker
2020-07-24 21:32:29: F015_T4: Could not copy the file T4 to docker
2020-07-24 21:32:29: F015_T5: Could not copy the file T5 to docker
2020-07-24 21:32:30: F015_T8: Could not copy the file T8 to docker
2020-07-24 21:32:30: F015_T2: Could not copy the file T2 to docker
2020-07-24 21:32:30: F015_T7: Could not copy the file T7 to docker
2020-07-24 21:32:31: F015_T1: Could not copy the file T1 to docker
2020-07-24 21:32:31: F015_T6: Could not copy the file T6 to docker
2020-07-24 21:32:31: F015_T3: Could not copy the file T3 to docker
2020-07-24 21:32:32: F007_T4: Could not copy the file T4 to docker
2020-07-24 21:32:33: F007_T5: Could not copy the file T5 to docker
2020-07-24 21:32:33: F007_T8: Could not copy the file T8 to docker
2020-07-24 21:32:33: F007_T2: Could not copy the file T2 to docker
2020-07-24 21:32:34: F007_T7: Could not copy the file T7 to docker
2020-07-24 21:32:34: F007_T1: Could not copy the file T1 to docker
2020-07-24 21:32:35: F007_T6: Could not copy the file T6 to docker
2020-07-24 21:32:35: F007_T3: Could not copy the file T3 to docker
2020-07-24 21:32:35: M005_T4: Could not copy the file T4 to docker
2020-07-24 21:32:36: M005_T5: Could not copy the file T5 to docker
2020-07-24 21:32:36: M005_T8: Could not copy the file T8 to docker
2020-07-24 21:32:36: M005_T2: Could not copy the file T2 to docker
2020-07-24 21:32:36: M005_T7: Could not copy the file T7 to docker
2020-07-24 21:32:37: M005_T1: Could not copy the file T1 to docker
2020-07-24 21:32:37: M005_T6: Could not copy the file T6 to docker
2020-07-24 21:32:37: M005_T3: Could not copy the file T3 to docker
2020-07-24 21:32:38: F005_T4: Could not copy the file T4 to docker
2020-07-24 21:32:38: F005_T5: Could not copy the file T5 to docker
2020-07-24 21:32:39: F005_T8: Could not copy the file T8 to docker
2020-07-24 21:32:39: F005_T2: Could not copy the file T2 to docker
2020-07-24 21:32:40: F005_T7: Could not copy the file T7 to docker
2020-07-24 21:32:40: F005_T1: Could not copy the file T1 to docker
2020-07-24 21:32:40: F005_T6: Could not copy the file T6 to docker
2020-07-24 21:32:40: F005_T3: Could not copy the file T3 to docker
2020-07-24 21:32:41: M013_T4: Could not copy the file T4 to docker
2020-07-24 21:32:41: M013_T5: Could not copy the file T5 to docker
2020-07-24 21:32:42: M013_T8: Could not copy the file T8 to docker
2020-07-24 21:32:42: M013_T2: Could not copy the file T2 to docker
2020-07-24 21:32:42: M013_T7: Could not copy the file T7 to docker
2020-07-24 21:32:43: M013_T1: Could not copy the file T1 to docker
2020-07-24 21:32:43: M013_T6: Could not copy the file T6 to docker
2020-07-24 21:32:43: M013_T3: Could not copy the file T3 to docker
2020-07-24 21:32:44: M001_T4: Could not copy the file T4 to docker
2020-07-24 21:32:44: M001_T5: Could not copy the file T5 to docker
2020-07-24 21:32:44: M001_T8: Could not copy the file T8 to docker
2020-07-24 21:32:45: M001_T2: Could not copy the file T2 to docker
2020-07-24 21:32:45: M001_T7: Could not copy the file T7 to docker
2020-07-24 21:32:45: M001_T1: Could not copy the file T1 to docker
2020-07-24 21:32:45: M001_T6: Could not copy the file T6 to docker
2020-07-24 21:32:45: M001_T3: Could not copy the file T3 to docker
2020-07-24 21:32:46: M014_T4: Could not copy the file T4 to docker
2020-07-24 21:32:46: M014_T5: Could not copy the file T5 to docker
2020-07-24 21:32:47: M014_T8: Could not copy the file T8 to docker
2020-07-24 21:32:47: M014_T2: Could not copy the file T2 to docker
2020-07-24 21:32:47: M014_T7: Could not copy the file T7 to docker
2020-07-24 21:32:48: M014_T1: Could not copy the file T1 to docker
2020-07-24 21:32:48: M014_T6: Could not copy the file T6 to docker
2020-07-24 21:32:48: M014_T3: Could not copy the file T3 to docker
2020-07-24 21:32:49: M018_T4: Could not copy the file T4 to docker
2020-07-24 21:32:50: M018_T5: Could not copy the file T5 to docker
2020-07-24 21:32:50: M018_T8: Could not copy the file T8 to docker
2020-07-24 21:32:50: M018_T2: Could not copy the file T2 to docker
2020-07-24 21:32:51: M018_T7: Could not copy the file T7 to docker
2020-07-24 21:32:51: M018_T1: Could not copy the file T1 to docker
2020-07-24 21:32:51: M018_T6: Could not copy the file T6 to docker
2020-07-24 21:32:51: M018_T3: Could not copy the file T3 to docker
2020-07-24 21:32:52: M011_T4: Could not copy the file T4 to docker
2020-07-24 21:32:52: M011_T5: Could not copy the file T5 to docker
2020-07-24 21:32:53: M011_T8: Could not copy the file T8 to docker
2020-07-24 21:32:53: M011_T2: Could not copy the file T2 to docker
2020-07-24 21:32:54: M011_T7: Could not copy the file T7 to docker
2020-07-24 21:32:54: M011_T1: Could not copy the file T1 to docker
2020-07-24 21:32:54: M011_T6: Could not copy the file T6 to docker
2020-07-24 21:32:55: M011_T3: Could not copy the file T3 to docker
2020-07-24 21:32:55: F004_T4: Could not copy the file T4 to docker
2020-07-24 21:32:56: F004_T5: Could not copy the file T5 to docker
2020-07-24 21:32:56: F004_T8: Could not copy the file T8 to docker
2020-07-24 21:32:57: F004_T2: Could not copy the file T2 to docker
2020-07-24 21:32:57: F004_T7: Could not copy the file T7 to docker
2020-07-24 21:32:58: F004_T1: Could not copy the file T1 to docker
2020-07-24 21:32:58: F004_T6: Could not copy the file T6 to docker
2020-07-24 21:32:59: F004_T3: Could not copy the file T3 to docker
2020-07-24 21:32:59: M012_T4: Could not copy the file T4 to docker
2020-07-24 21:32:59: M012_T5: Could not copy the file T5 to docker
2020-07-24 21:33:00: M012_T8: Could not copy the file T8 to docker
2020-07-24 21:33:00: M012_T2: Could not copy the file T2 to docker
2020-07-24 21:33:01: M012_T7: Could not copy the file T7 to docker
2020-07-24 21:33:01: M012_T1: Could not copy the file T1 to docker
2020-07-24 21:33:02: M012_T6: Could not copy the file T6 to docker
2020-07-24 21:33:02: M012_T3: Could not copy the file T3 to docker
2020-07-24 21:33:03: M008_T4: Could not copy the file T4 to docker
2020-07-24 21:33:03: M008_T5: Could not copy the file T5 to docker
2020-07-24 21:33:03: M008_T8: Could not copy the file T8 to docker
2020-07-24 21:33:04: M008_T2: Could not copy the file T2 to docker
2020-07-24 21:33:04: M008_T7: Could not copy the file T7 to docker
2020-07-24 21:33:05: M008_T1: Could not copy the file T1 to docker
2020-07-24 21:33:05: M008_T6: Could not copy the file T6 to docker
2020-07-24 21:33:06: M008_T3: Could not copy the file T3 to docker
2020-07-24 21:33:06: F016_T4: Could not copy the file T4 to docker
2020-07-24 21:33:06: F016_T5: Could not copy the file T5 to docker
2020-07-24 21:33:07: F016_T8: Could not copy the file T8 to docker
2020-07-24 21:33:07: F016_T2: Could not copy the file T2 to docker
2020-07-24 21:33:07: F016_T7: Could not copy the file T7 to docker
2020-07-24 21:33:07: F016_T1: Could not copy the file T1 to docker
2020-07-24 21:33:08: F016_T6: Could not copy the file T6 to docker
2020-07-24 21:33:08: F016_T3: Could not copy the file T3 to docker
2020-07-24 21:33:08: F012_T4: Could not copy the file T4 to docker
2020-07-24 21:33:09: F012_T5: Could not copy the file T5 to docker
2020-07-24 21:33:09: F012_T8: Could not copy the file T8 to docker
2020-07-24 21:33:09: F012_T2: Could not copy the file T2 to docker
2020-07-24 21:33:09: F012_T7: Could not copy the file T7 to docker
2020-07-24 21:33:10: F012_T1: Could not copy the file T1 to docker
2020-07-24 21:33:10: F012_T6: Could not copy the file T6 to docker
2020-07-24 21:33:10: F012_T3: Could not copy the file T3 to docker
2020-07-24 21:33:11: M009_T4: Could not copy the file T4 to docker
2020-07-24 21:33:11: M009_T5: Could not copy the file T5 to docker
2020-07-24 21:33:12: M009_T8: Could not copy the file T8 to docker
2020-07-24 21:33:12: M009_T2: Could not copy the file T2 to docker
2020-07-24 21:33:13: M009_T7: Could not copy the file T7 to docker
2020-07-24 21:33:13: M009_T1: Could not copy the file T1 to docker
2020-07-24 21:33:13: M009_T6: Could not copy the file T6 to docker
2020-07-24 21:33:13: M009_T3: Could not copy the file T3 to docker
2020-07-24 21:33:14: F018_T4: Could not copy the file T4 to docker
2020-07-24 21:33:14: F018_T5: Could not copy the file T5 to docker
2020-07-24 21:33:14: F018_T8: Could not copy the file T8 to docker
2020-07-24 21:33:15: F018_T2: Could not copy the file T2 to docker
2020-07-24 21:33:15: F018_T7: Could not copy the file T7 to docker
2020-07-24 21:33:15: F018_T1: Could not copy the file T1 to docker
2020-07-24 21:33:15: F018_T6: Could not copy the file T6 to docker
2020-07-24 21:33:16: F018_T3: Could not copy the file T3 to docker
2020-07-24 21:33:16: M003_T4: Could not copy the file T4 to docker
2020-07-24 21:33:16: M003_T5: Could not copy the file T5 to docker
2020-07-24 21:33:17: M003_T8: Could not copy the file T8 to docker
2020-07-24 21:33:17: M003_T2: Could not copy the file T2 to docker
2020-07-24 21:33:17: M003_T7: Could not copy the file T7 to docker
2020-07-24 21:33:17: M003_T1: Could not copy the file T1 to docker
2020-07-24 21:33:18: M003_T6: Could not copy the file T6 to docker
2020-07-24 21:33:18: M003_T3: Could not copy the file T3 to docker
2020-07-24 21:33:18: F017_T4: Could not copy the file T4 to docker
2020-07-24 21:33:18: F017_T5: Could not copy the file T5 to docker
2020-07-24 21:33:19: F017_T8: Could not copy the file T8 to docker
2020-07-24 21:33:19: F017_T2: Could not copy the file T2 to docker
2020-07-24 21:33:20: F017_T7: Could not copy the file T7 to docker
2020-07-24 21:33:20: F017_T1: Could not copy the file T1 to docker
2020-07-24 21:33:20: F017_T6: Could not copy the file T6 to docker
2020-07-24 21:33:20: F017_T3: Could not copy the file T3 to docker
2020-07-24 21:33:21: F014_T4: Could not copy the file T4 to docker
2020-07-24 21:33:21: F014_T5: Could not copy the file T5 to docker
2020-07-24 21:33:21: F014_T8: Could not copy the file T8 to docker
2020-07-24 21:33:22: F014_T2: Could not copy the file T2 to docker
2020-07-24 21:33:22: F014_T7: Could not copy the file T7 to docker
2020-07-24 21:33:22: F014_T1: Could not copy the file T1 to docker
2020-07-24 21:33:22: F014_T6: Could not copy the file T6 to docker
2020-07-24 21:33:22: F014_T3: Could not copy the file T3 to docker
2020-07-24 21:33:23: F022_T4: Could not copy the file T4 to docker
2020-07-24 21:33:23: F022_T5: Could not copy the file T5 to docker
2020-07-24 21:33:23: F022_T8: Could not copy the file T8 to docker
2020-07-24 21:33:23: F022_T2: Could not copy the file T2 to docker
2020-07-24 21:33:24: F022_T7: Could not copy the file T7 to docker
2020-07-24 21:33:24: F022_T1: Could not copy the file T1 to docker
2020-07-24 21:33:24: F022_T6: Could not copy the file T6 to docker
2020-07-24 21:33:24: F022_T3: Could not copy the file T3 to docker
2020-07-24 21:33:25: M007_T4: Could not copy the file T4 to docker
2020-07-24 21:33:25: M007_T5: Could not copy the file T5 to docker
2020-07-24 21:33:25: M007_T8: Could not copy the file T8 to docker
2020-07-24 21:33:25: M007_T2: Could not copy the file T2 to docker
2020-07-24 21:33:26: M007_T7: Could not copy the file T7 to docker
2020-07-24 21:33:26: M007_T1: Could not copy the file T1 to docker
2020-07-24 21:33:26: M007_T6: Could not copy the file T6 to docker
2020-07-24 21:33:26: M007_T3: Could not copy the file T3 to docker
2020-07-24 21:33:27: F011_T4: Could not copy the file T4 to docker
2020-07-24 21:33:27: F011_T5: Could not copy the file T5 to docker
2020-07-24 21:33:27: F011_T8: Could not copy the file T8 to docker
2020-07-24 21:33:28: F011_T2: Could not copy the file T2 to docker
2020-07-24 21:33:28: F011_T7: Could not copy the file T7 to docker
2020-07-24 21:33:28: F011_T1: Could not copy the file T1 to docker
2020-07-24 21:33:28: F011_T6: Could not copy the file T6 to docker
2020-07-24 21:33:29: F011_T3: Could not copy the file T3 to docker
2020-07-24 21:33:29: F006_T4: Could not copy the file T4 to docker
2020-07-24 21:33:30: F006_T5: Could not copy the file T5 to docker
2020-07-24 21:33:30: F006_T8: Could not copy the file T8 to docker
2020-07-24 21:33:31: F006_T2: Could not copy the file T2 to docker
2020-07-24 21:33:31: F006_T7: Could not copy the file T7 to docker
2020-07-24 21:33:31: F006_T1: Could not copy the file T1 to docker
2020-07-24 21:33:32: F006_T6: Could not copy the file T6 to docker
2020-07-24 21:33:32: F006_T3: Could not copy the file T3 to docker
2020-07-24 21:33:32: F010_T4: Could not copy the file T4 to docker
2020-07-24 21:33:32: F010_T5: Could not copy the file T5 to docker
2020-07-24 21:33:33: F010_T8: Could not copy the file T8 to docker
2020-07-24 21:33:33: F010_T2: Could not copy the file T2 to docker
2020-07-24 21:33:33: F010_T7: Could not copy the file T7 to docker
2020-07-24 21:33:33: F010_T1: Could not copy the file T1 to docker
2020-07-24 21:33:34: F010_T6: Could not copy the file T6 to docker
2020-07-24 21:33:34: F010_T3: Could not copy the file T3 to docker
2020-07-24 21:33:34: M002_T4: Could not copy the file T4 to docker
2020-07-24 21:33:35: M002_T5: Could not copy the file T5 to docker
2020-07-24 21:33:35: M002_T8: Could not copy the file T8 to docker
2020-07-24 21:33:35: M002_T2: Could not copy the file T2 to docker
2020-07-24 21:33:36: M002_T7: Could not copy the file T7 to docker
2020-07-24 21:33:36: M002_T1: Could not copy the file T1 to docker
2020-07-24 21:33:36: M002_T6: Could not copy the file T6 to docker
2020-07-24 21:33:36: M002_T3: Could not copy the file T3 to docker
2020-07-24 21:33:36: M006_T4: Could not copy the file T4 to docker
2020-07-24 21:33:37: M006_T5: Could not copy the file T5 to docker
2020-07-24 21:33:37: M006_T8: Could not copy the file T8 to docker
2020-07-24 21:33:37: M006_T2: Could not copy the file T2 to docker
2020-07-24 21:33:38: M006_T7: Could not copy the file T7 to docker
2020-07-24 21:33:38: M006_T1: Could not copy the file T1 to docker
2020-07-24 21:33:38: M006_T6: Could not copy the file T6 to docker
2020-07-24 21:33:39: M006_T3: Could not copy the file T3 to docker
2020-07-24 21:33:39: F003_T4: Could not copy the file T4 to docker
2020-07-24 21:33:39: F003_T5: Could not copy the file T5 to docker
2020-07-24 21:33:40: F003_T8: Could not copy the file T8 to docker
2020-07-24 21:33:40: F003_T2: Could not copy the file T2 to docker
2020-07-24 21:33:41: F003_T7: Could not copy the file T7 to docker
2020-07-24 21:33:41: F003_T1: Could not copy the file T1 to docker
2020-07-24 21:33:41: F003_T6: Could not copy the file T6 to docker
2020-07-24 21:33:42: F003_T3: Could not copy the file T3 to docker
2020-07-24 21:33:42: M004_T4: Could not copy the file T4 to docker
2020-07-24 21:33:42: M004_T5: Could not copy the file T5 to docker
2020-07-24 21:33:42: M004_T8: Could not copy the file T8 to docker
2020-07-24 21:33:42: M004_T2: Could not copy the file T2 to docker
2020-07-24 21:33:43: M004_T7: Could not copy the file T7 to docker
2020-07-24 21:33:43: M004_T1: Could not copy the file T1 to docker
2020-07-24 21:33:43: M004_T6: Could not copy the file T6 to docker
2020-07-24 21:33:43: M004_T3: Could not copy the file T3 to docker
